date,time,code,open,high,low,close,volume,amount,adjustflag
2012-07-26,20120726150000000,sh.600000,3.4412558700,3.4458999400,3.4273236600,3.4366118000,7128000,52696706.0000,2
2012-07-27,20120727103000000,sh.600000,3.4458999400,3.4737643600,3.4366118000,3.4737643600,15937800,118650677.0000,2
2012-07-27,20120727113000000,sh.600000,3.4784084300,3.5062728500,3.4737643600,3.4737643600,23698700,178229623.0000,2
2012-07-27,20120727140000000,sh.600000,3.4784084300,3.4876965700,3.4691202900,3.4876965700,9981900,74805843.0000,2
2012-07-27,20120727150000000,sh.600000,3.4876965700,3.4923406400,3.4737643600,3.4784084300,8880400,66607247.0000,2
2012-07-30,20120730103000000,sh.600000,3.4923406400,3.5155609900,3.4784084300,3.5062728500,18736700,141317164.0000,2
2012-07-30,20120730113000000,sh.600000,3.5062728500,3.5527135500,3.5062728500,3.5341372700,20357000,154824335.0000,2
2012-07-30,20120730140000000,sh.600000,3.5341372700,3.5387813400,3.5202050600,3.5248491300,8542300,64888090.0000,2
2012-07-30,20120730150000000,sh.600000,3.5248491300,3.5294932000,3.5016287800,3.5109169200,14504300,109702679.0000,2
2012-07-31,20120731103000000,sh.600000,3.5155609900,3.5573576200,3.5109169200,3.5341372700,22032800,167672496.0000,2
2012-07-31,20120731113000000,sh.600000,3.5341372700,3.5527135500,3.5294932000,3.5434254100,9873500,75289863.0000,2
2012-07-31,20120731140000000,sh.600000,3.5387813400,3.5712898300,3.5387813400,3.5573576200,21871300,167578499.0000,2
2012-07-31,20120731150000000,sh.600000,3.5573576200,3.5712898300,3.5527135500,3.5573576200,16338900,125406278.0000,2
2012-08-01,20120801103000000,sh.600000,3.5620016900,3.5805779700,3.5387813400,3.5434254100,27601400,211852290.0000,2
2012-08-01,20120801113000000,sh.600000,3.5480694800,3.5480694800,3.5248491300,3.5294932000,16269400,124038931.0000,2
2012-08-01,20120801140000000,sh.600000,3.5341372700,3.5480694800,3.5294932000,3.5434254100,5703700,43521375.0000,2
2012-08-01,20120801150000000,sh.600000,3.5480694800,3.5573576200,3.5434254100,3.5527135500,12694500,97082866.0000,2
2012-08-02,20120802103000000,sh.600000,3.5666457600,3.5852220400,3.5527135500,3.5759339000,23881800,183625789.0000,2
2012-08-02,20120802113000000,sh.600000,3.5759339000,3.5945101800,3.5712898300,3.5805779700,16880500,130372347.0000,2
2012-08-02,20120802140000000,sh.600000,3.5805779700,3.5852220400,3.5666457600,3.5805779700,12553500,96681939.0000,2
2012-08-02,20120802150000000,sh.600000,3.5805779700,3.6084423900,3.5759339000,3.5991542500,22126500,171286400.0000,2
2012-08-03,20120803103000000,sh.600000,3.5945101800,3.5945101800,3.5666457600,3.5712898300,13539500,104363794.0000,2
2012-08-03,20120803113000000,sh.600000,3.5712898300,3.5852220400,3.5712898300,3.5759339000,8445400,65037954.0000,2
2012-08-03,20120803140000000,sh.600000,3.5759339000,3.5805779700,3.5666457600,3.5759339000,7170800,55186368.0000,2
2012-08-03,20120803150000000,sh.600000,3.5712898300,3.5945101800,3.5666457600,3.5945101800,14887500,114750573.0000,2
2012-08-06,20120806103000000,sh.600000,3.5898661100,3.5945101800,3.5712898300,3.5852220400,9832200,75866490.0000,2
2012-08-06,20120806113000000,sh.600000,3.5852220400,3.5898661100,3.5712898300,3.5805779700,6849900,52817084.0000,2
2012-08-06,20120806140000000,sh.600000,3.5805779700,3.5945101800,3.5759339000,3.5852220400,10483800,80978859.0000,2
2012-08-06,20120806150000000,sh.600000,3.5805779700,3.5945101800,3.5759339000,3.5852220400,19242600,148572906.0000,2
2012-08-07,20120807103000000,sh.600000,3.5852220400,3.5852220400,3.5527135500,3.5620016900,14412700,110748138.0000,2
2012-08-07,20120807113000000,sh.600000,3.5620016900,3.5759339000,3.5620016900,3.5666457600,5861900,45015534.0000,2
2012-08-07,20120807140000000,sh.600000,3.5759339000,3.5759339000,3.5666457600,3.5759339000,6372900,49008121.0000,2
2012-08-07,20120807150000000,sh.600000,3.5759339000,3.5759339000,3.5620016900,3.5712898300,8262400,63496145.0000,2
2012-08-08,20120808103000000,sh.600000,3.5759339000,3.6084423900,3.5712898300,3.5898661100,21202200,164203157.0000,2
2012-08-08,20120808113000000,sh.600000,3.5945101800,3.5991542500,3.5805779700,3.5852220400,8123100,62836778.0000,2
2012-08-08,20120808140000000,sh.600000,3.5805779700,3.6037983200,3.5805779700,3.6037983200,9450600,73148103.0000,2
